Record ID,Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Aircraft Type,Aircraft Make,Aircraft Model,Aircraft Mass,Engine Make,Engine Model,Engines,Engine Type,Engine1 Position,Engine2 Position,Engine3 Position,Engine4 Position,Airport ID,Airport,State,FAA Region,Warning Issued,Flight Phase,Visibility,Precipitation,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact,Fatalities,Injuries,Aircraft Damage,Radome Strike,Radome Damage,Windshield Strike,Windshield Damage,Nose Strike,Nose Damage,Engine1 Strike,Engine1 Damage,Engine2 Strike,Engine2 Damage,Engine3 Strike,Engine3 Damage,Engine4 Strike,Engine4 Damage,Engine Ingested,Propeller Strike,Propeller Damage,Wing or Rotor Strike,Wing or Rotor Damage,Fuselage Strike,Fuselage Damage,Landing Gear Strike,Landing Gear Damage,Tail Strike,Tail Damage,Lights Strike,Lights Damage,Other Strike,Other Damage
103132,1992,11,23,BUS,BUSINESS,PA-31 NAVAJO,A,729,25,2,7,31,2,A,4,4,,,KDCA,RONALD REAGAN WASHINGTON NATIONAL ARPT,DC,AEA,Y,LANDING ROLL,DAWN,FOG,0,,0,NE104,RING-BILLED GULL,1,NONE,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106734,1992,11,23,AAL,AMERICAN AIRLINES,B-767-200,A,148,29,4,22,7,2,D,1,1,,,KMHT,MANCHESTER AIRPORT,NH,ANE,N,CLIMB,DAY,NONE,10,140,,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107805,1992,11,23,SWA,SOUTHWEST AIRLINES,B-737-200,A,148,13,4,34,10,2,D,1,1,,,ZZZZ,UNKNOWN,,,N,,DAY,NONE,,,,UNKBS,UNKNOWN SMALL BIRD,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102956,1992,11,23,PVT,PRIVATELY OWNED,C-150,A,226,5,1,13,1,1,A,7,,,,KTBR,STATESBORO -BULLOCH COUNTY ARPT,GA,ASO,,LANDING ROLL,DUSK,,0,,0,1G11,WHITE-TAILED DEER,1,OTHER,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
105327,1992,11,23,SWA,SOUTHWEST AIRLINES,B-737-300,A,148,24,4,10,1,2,D,1,1,,,KHOU,WILLIAM P HOBBY ARPT,TX,ASW,N,LANDING ROLL,DAY,NONE,0,80,0,O22,DOVE,2-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2439,1992,11,23,MIL,MILITARY,T-38A,A,,,,,,,,,,,,KLBB,LUBBOCK PRESTON SMITH INTL ARPT,TX,ASW,,TAKEOFF RUN,DAWN,,0,0,0,UNKBM,UNKNOWN MEDIUM BIRD,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2438,1992,11,23,MIL,MILITARY,A-10A,A,345,,3,22,,2,D,,,,,KMTN,MARTIN STATE ARPT,MD,AEA,,APPROACH,DAY,,20,140,,UNKBM,UNKNOWN MEDIUM BIRD,2-10,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102504,1992,11,24,RBD,TRANS WORLD EXPRESS,DHC7 DASH 7,A,303,9,3,31,4,4,C,4,4,4,4,KPVD,THEODORE FRANCIS GREEN STATE,RI,ANE,,APPROACH,NIGHT,,300,110,,NE1,GULL,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118960,1992,11,24,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KMCO,ORLANDO INTL,FL,ASO,,,,,,,0,H51,ANHINGA,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117374,1992,11,24,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KMCO,ORLANDO INTL,FL,ASO,,,,,,,0,NE1,GULL,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101349,1992,11,24,AAL,AMERICAN AIRLINES,FOKKER F100,A,372,12,4,37,46,2,D,5,5,,,KORD,CHICAGO O'HARE INTL ARPT,IL,AGL,Y,APPROACH,DAY,NONE,300,135,,O2111,ROCK PIGEON,1,NONE,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110771,1992,11,25,BUS,BUSINESS,PA-32,A,729,26,1,7,31,1,A,7,,,,KFTY,FULTON COUNTY ARPT - BROWN FIELD,GA,ASO,N,APPROACH,NIGHT,FOG,1000,90,,UNKBL,UNKNOWN LARGE BIRD,1,NONE,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
