Record ID,Incident Year,Incident Month,Incident Day,Operator,Aircraft ,Engines,Engine Type,Airport,State,FAA Region,Warning Issued,Flight Phase,Visibility,Precipitation,Height,Height Bands,Speed,Speed Bands,Species Name,Species Quantity,Flight Impact,Aircraft Damage,Engine Ingested
2441,1992,12,1,Military,C-9,0,NA,Laurence G Hanscom Field Arpt,MA,ANE,Unknown,TAKEOFF RUN,DAY,NONE,0,On Ground,121,Medium Speed,Unknown Medium Bird,1,NONE,No,No
105089,1992,12,1,Unknown,LEARJET UNKN,2,NA,Decatur Arpt,IL,AGL,Unknown,APPROACH,UNKNOWN,NONE,0,On Ground,0,Stationary,American Crow,0,OTHER,No,No
4684,1992,12,1,Military,T-37B,0,NA,Sheppard Afb/Wichita Falls Muni Arpt,TX,ASW,Yes,TAKEOFF RUN,DAY,NONE,200,Low Altitude,100,Low Speed,Unknown Medium Bird,1,NONE,No,No
122334,1992,12,2,Unknown,UNKNOWN,0,NA,Orlando Intl,FL,ASO,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Dove,1,NONE,No,No
116158,1992,12,2,Delta Air Lines,UNKNOWN,0,NA,Sarasota-Bradenton Intl Arpt,FL,ASO,Unknown,LANDING ROLL,NIGHT,NONE,0,On Ground,0,Stationary,Gull,1,NONE,No,No
104295,1992,12,2,1Us Airways,FOKKER F100,2,D,Greater Rochester Intl,NY,AEA,Unknown,TAKEOFF RUN,DUSK,NONE,0,On Ground,0,Stationary,White-Tailed Deer,1,NONE,No,No
101680,1992,12,2,Nashville Eagle,BA-31 JETSTR,2,C,Miami Intl,FL,ASO,Yes,APPROACH,DAY,NONE,500,Low Altitude,130,Medium Speed,Unknown Medium Bird,2-10,NONE,Yes,No
102093,1992,12,2,Business,PA-60 600,2,A,Richmond Intl,VA,AEA,No,APPROACH,DAY,NONE,100,Low Altitude,106,Medium Speed,Unknown Small Bird,2-10,NONE,No,No
104235,1992,12,3,Privately Owned,BE-35,1,A,Greater Binghamton Arpt/Edwin A Link Field,NY,AEA,No,APPROACH,NIGHT,NONE,3900,High Altitude,125,Medium Speed,Unknown Medium Bird,1,PRECAUTIONARY LANDING,Yes,No
108755,1992,12,3,Ups Airlines,B-727,3,D,Louisville Intl Arpt-Standiford Field,KY,ASO,No,APPROACH,NIGHT,NONE,300,Low Altitude,130,Medium Speed,Rock Pigeon,2-10,NONE,No,No
107943,1992,12,3,Henson,DHC8 DASH 8,2,C,Jacksonville Intl,FL,ASO,No,TAKEOFF RUN,DAY,NONE,0,On Ground,88,Low Speed,Dove,1,ABORTED TAKEOFF,No,No
106878,1992,12,3,Business,C-182 SKYLAN,1,A,Opa-Locka Executive Arpt,FL,ASO,Yes,APPROACH,NIGHT,NONE,1000,Medium Altitude,85,Low Speed,Unknown Medium Bird,2-10,NONE,No,No
103668,1992,12,4,1Us Airways,B-737-300,2,D,San Francisco Intl Arpt,CA,AWP,No,CLIMB,NIGHT,NONE,1000,Medium Altitude,220,High Speed,Unknown Large Bird,1,NONE,Yes,Yes
4841,1992,12,4,Military,C-141,0,NA,Charleston Afb/Intl Arpt,SC,ASO,Yes,APPROACH,NIGHT,NONE,1500,Medium Altitude,135,Medium Speed,Unknown Medium Bird,1,NONE,No,No
118908,1992,12,5,Business,PA-28,1,A,Page Field Arpt,FL,ASO,No,CLIMB,DAY,NONE,200,Low Altitude,100,Low Speed,New World Vultures,2-10,NONE,Yes,No
110977,1992,12,5,1Us Airways,B-737-300,2,D,Unknown,UNKNOWN,NA,Unknown,UNKNOWN,NIGHT,NONE,0,On Ground,0,Stationary,Unknown Medium Bird,1,NONE,No,No
105705,1992,12,5,American Airlines,MD-82,2,D,Dallas/Fort Worth Intl Arpt,TX,ASW,Yes,TAKEOFF RUN,DAWN,NONE,0,On Ground,140,Medium Speed,Unknown Small Bird,1,NONE,No,No
125367,1992,12,5,United Airlines,B-737-300,2,D,San Francisco Intl Arpt,CA,AWP,Unknown,CLIMB,UNKNOWN,NONE,0,On Ground,0,Stationary,Unknown Medium Bird,2-10,NONE,No,No
102012,1992,12,5,Delta Air Lines,B-757-200,2,D,San Francisco Intl Arpt,CA,AWP,No,LANDING ROLL,DAY,NONE,0,On Ground,105,Medium Speed,Sparrow,2-10,NONE,No,No
106905,1992,12,5,1Us Airways,B-737-300,2,D,Newark Liberty Intl Arpt,NJ,AEA,No,APPROACH,DAY,NONE,500,Low Altitude,138,Medium Speed,Gull,1,NONE,No,No
101677,1992,12,5,Southwest Airlines,B-737-300,2,D,Ontario Intl Arpt,CA,AWP,No,LANDING ROLL,DAY,NONE,0,On Ground,0,Stationary,Egret,2-10,NONE,No,No
122267,1992,12,6,Unknown,UNKNOWN,0,NA,Orlando Intl,FL,ASO,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Dove,1,NONE,No,No
107934,1992,12,6,American Airlines,B-757-200,2,D,John Wayne-Orange County Arpt,CA,AWP,Yes,APPROACH,NIGHT,RAIN,20,Low Altitude,135,Medium Speed,Gull,1,NONE,No,No
130136,1992,12,7,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Spotted Dove,1,NONE,No,No
2442,1992,12,7,Military,T-38A,0,NA,Lubbock Preston Smith Intl Arpt,TX,ASW,Unknown,CLIMB,DAY,NONE,500,Low Altitude,340,High Speed,Unknown Medium Bird,1,NONE,No,No
108990,1992,12,7,Pinnacle,BA-31 JETSTR,2,C,Greenville Municipal,MI,AGL,No,APPROACH,DAY,NONE,10,Low Altitude,100,Low Speed,Unknown Medium Bird,2-10,NONE,No,No
103294,1992,12,7,Airnet Express,C-310,2,A,Erie Intl Arpt-Tom Ridge Field,PA,AEA,No,APPROACH,NIGHT,SNOW,2150,High Altitude,139,Medium Speed,Gull,1,PRECAUTIONARY LANDING,Yes,No
100126,1992,12,8,Hawaiian Air,DC-9,2,D,Unknown,UNKNOWN,NA,No,UNKNOWN,DAY,NONE,0,On Ground,0,Stationary,Unknown Small Bird,1,NONE,No,No
107463,1992,12,8,American Airlines,MD-80,2,D,Ontario Intl Arpt,CA,AWP,No,LANDING ROLL,NIGHT,RAIN,0,On Ground,120,Medium Speed,Unknown Small Bird,1,NONE,No,No
130137,1992,12,8,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Pacific Golden-Plover,1,NONE,No,No
104630,1992,12,8,Ameriflight,BE-99,2,C,Unknown,UNKNOWN,NA,No,EN ROUTE,DAY,RAIN,3500,High Altitude,180,Medium Speed,Duck,1,PRECAUTIONARY LANDING,Yes,No
107945,1992,12,8,1Us Airways,MD-80,2,D,Unknown,UNKNOWN,NA,Unknown,UNKNOWN,NIGHT,NONE,0,On Ground,0,Stationary,Unknown Small Bird,1,NONE,No,No
129655,1992,12,8,1Us Airways,MD-80,2,D,La Guardia Arpt,NY,AEA,Unknown,LANDING ROLL,NIGHT,NONE,0,On Ground,0,Stationary,Unknown Bird,1,NONE,Yes,Yes
